timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel UV Radiation
20220112T2200,-2.5197544,4.452954,75.96376,0
20220112T2300,-3.0497546,5.495161,58.392494,0
20220113T0000,-3.3897548,3.396233,57.994614,0
20220113T0100,-3.6697545,3.7585104,73.30075,0
20220113T0200,-3.8997545,3.6179552,84.289406,0
20220113T0300,-3.979755,3.6179552,84.289406,0
20220113T0400,-3.9197545,3.671294,78.69006,0
20220113T0500,-4.1997547,3.7585104,73.30075,0
20220113T0600,-4.2597547,3.671294,78.69006,0
20220113T0700,-4.1997547,3.0758414,69.443954,0
20220113T0800,-4.0897546,3.4152596,71.56504,0
20220113T0900,-4.0897546,3.671294,78.69006,0
20220113T1000,-3.4397545,5.0142193,68.96249,1.82
20220113T1100,-1.4497546,5.634891,63.43495,9.61
20220113T1200,-0.0697546,5.0911684,81.869896,19.99
20220113T1300,1.0102454,5.8048253,82.874985,27.4
20220113T1400,2.1802454,6.151683,69.443954,31.11
20220113T1500,2.9702454,7.491114,54.782394,29.28
20220113T1600,3.3602452,7.145796,49.085617,22.73
20220113T1700,2.5802455,6.618519,44.999985,13.23
20220113T1800,0.2602454,7.9932966,54.16234,3.94
20220113T1900,-0.5597546,5.154415,65.224846,0
20220113T2000,-1.0097545,4.0249224,79.695145,0
20220113T2100,-1.4497546,3.6,89.99999,0
20220113T2200,-2.0797548,2.968636,104.03624,0
20220113T2300,-2.5697546,3.219938,116.56505,0
20220114T0000,-2.6697545,2.4149535,153.43495,0
20220114T0100,-2.9397545,4.510787,151.38954,0
20220114T0200,-3.0997548,3.7064266,150.94539,0
20220114T0300,-3.2597547,3.7064266,150.94539,0
20220114T0400,-3.3897548,3.7064266,150.94539,0
20220114T0500,-3.519755,4.198285,149.03624,0
20220114T0600,-3.8697548,5.0142193,158.9625,0
20220114T0700,-3.9897547,4.829907,153.43495,0
20220114T0800,-4.1897545,4.8965297,143.97263,0
20220114T0900,-4.1097546,4.5820518,135,0
20220114T1000,-3.3397546,4.8965297,143.97263,1.91
20220114T1100,-1.3897547,4.829907,153.43495,10.42
20220114T1200,0.17024541,4.510787,151.38954,20.42
20220114T1300,1.8202454,4.510787,151.38954,28.06
20220114T1400,3.1202455,2.8116899,129.80557,31.37
20220114T1500,4.110245,2.6208394,105.9454,29.57
20220114T1600,4.8102455,2.3051248,128.6598,23.04
20220114T1700,5.7802453,4.6102495,141.34018,13.5
20220114T1800,3.6202455,5.1165614,140.71059,4.16
20220114T1900,0.11024541,3.6,126.869896,0
20220114T2000,-0.64975464,2.5959969,123.69006,0
20220114T2100,-1.4597546,2.3051248,141.34018,0
20220114T2200,-1.9997545,2.5959969,146.30994,0
20220114T2300,-2.1397548,2.3051248,128.6598,0
20220115T0000,-2.2597547,3.0547013,135,0
20220115T0100,-2.3197546,4.5820518,135,0
20220115T0200,-2.5697546,4.1046314,127.874985,0
20220115T0300,-2.8097544,3.319036,130.60129,0
20220115T0400,-3.2497544,3.0547013,135,0
20220115T0500,-3.4297547,3.7064266,150.94539,0
20220115T0600,-3.6497545,4.3498964,155.55605,0
20220115T0700,-3.8097548,4.8965297,143.97263,0
20220115T0800,-3.7997546,5.0911684,135,0
20220115T0900,-4.1297545,5.3517847,132.27368,0
20220115T1000,-3.1497545,6.1305785,139.76364,1.98
